5,B-Time
月,I-Time
12,I-Time
日,I-Time
14,I-Time
时,I-Time
28,I-Time
分,I-Time
，,O
四,B-Location
川,I-Location
发,O
生,O
7.8,O
级,O
地,B-Denoter
震,I-Denoter
。,O
,
15,I-Time
时,I-Time
50,I-Time
分,I-Time
，,O
新,O
民,O
网,O
记,B-Participant
者,I-Participant
网,O
上,O
连,B-Denoter
线,I-Denoter
成,O
都,O
网,O
友,O
姚,B-Participant
先,I-Participant
生,I-Participant
姚,B-Participant
先,I-Participant
生,I-Participant
当,B-Time
时,I-Time
正,O
在,O
成,B-Location
都,I-Location
市,I-Location
武,I-Location
侯,I-Location
区,I-Location
的,I-Location
办,I-Location
公,I-Location
室,I-Location
打,B-Denoter
电,I-Denoter
话,I-Denoter
，,O
突,O
然,O
感,B-Denoter
觉,I-Denoter
，,O
电,B-Object
脑,I-Object
显,I-Object
示,I-Object
器,I-Object
晃,B-Denoter
得,O
很,O
厉,O
害,O
便,O
、,O
丢,B-Denoter
下,I-Denoter
电,B-Object
话,I-Object
抓,B-Denoter
起,I-Denoter
手,B-Object
机,I-Object
和,O
钱,B-Object
包,I-Object
往,O
外,O
跑,B-Denoter
，,O
手,O
里,O
还,O
拿,B-Denoter
着,O
无,B-Object
绳,I-Object
电,I-Object
话,I-Object
子,I-Object
机,I-Object
，,O
准,O
备,O
给,O
远,O
在,O
江,O
苏,O
的,O
家,B-Participant
人,I-Participant
打,B-Denoter
电,I-Denoter
话,I-Denoter
。,O
,
姚,B-Participant
先,I-Participant
生,I-Participant
说,B-Denoter
坐,O
在,O
他,O
旁,O
边,O
的,O
女,B-Participant
同,I-Participant
事,I-Participant
立,O
刻,O
感,B-Denoter
觉,I-Denoter
是,O
在,O
地,O
震,O
，,O
一,O
下,O
子,O
哭,B-Denoter
了,O
起,O
来,O
。,O
,
据,O
姚,B-Participant
先,I-Participant
生,I-Participant
介,B-Denoter
绍,I-Denoter
，,O
成,O
都,O
市,O
很,O
多,O
钢,O
结,O
构,O
的,O
房,B-Object
屋,I-Object
都,O
有,O
明,O
显,O
震,B-Denoter
感,I-Denoter
，,O
当,O
他,B-Participant
和,O
很,B-Participant
多,I-Participant
市,I-Participant
民,I-Participant
一,O
样,O
疏,B-Denoter
散,I-Denoter
到,O
室,B-Location
外,I-Location
时,O
，,O
随,O
即,O
发,B-Denoter
现,I-Denoter
，,O
据,O
称,O
基,O
站,O
坏,O
了,O
。,O
,
手,B-Object
机,I-Object
信,I-Object
号,I-Object
已,O
经,O
中,B-Denoter
断,I-Denoter
疏,O
散,O
出,O
来,O
的,O
人,O
群,O
中,O
，,O
大,B-Participant
家,I-Participant
都,O
在,O
谈,B-Denoter
论,I-Denoter
唐,O
山,O
大,O
地,O
震,O
。,O
,
姚,B-Participant
先,I-Participant
生,I-Participant
向,O
新,B-Participant
民,I-Participant
网,I-Participant
记,I-Participant
者,I-Participant
称,B-Denoter
据,O
一,B-Participant
些,I-Participant
成,I-Participant
都,I-Participant
市,I-Participant
民,I-Participant
说,B-Denoter
，,O
成,O
都,O
的,O
伊,B-Object
藤,I-Object
洋,I-Object
华,I-Object
堂,I-Object
武,I-Object
侯,I-Object
店,I-Object
倒,B-Denoter
塌,I-Denoter
。,O
,
新,B-Participant
华,I-Participant
网,I-Participant
成,B-Location
都,I-Location
5,B-Time
月,I-Time
12,I-Time
日,I-Time
电,B-Denoter
，,O
12,I-Time
日,I-Time
14,I-Time
时,I-Time
28,I-Time
分,I-Time
，,O
川,I-Location
西,I-Location
汶,I-Location
发,O
生,O
地,B-Denoter
震,I-Denoter
成,B-Location
都,I-Location
震,B-Denoter
感,I-Denoter
强,O
烈,O
。,O
,
记,B-Participant
者,I-Participant
看,B-Denoter
到,I-Denoter
成,O
都,O
市,O
许,O
多,O
办,O
公,O
楼,O
的,O
。,O
,
饮,B-Object
水,I-Object
机,I-Object
倒,B-Denoter
塌,I-Denoter
，,O
文,B-Object
件,I-Object
柜,I-Object
、,O
电,B-Object
视,I-Object
机,I-Object
均,O
剧,O
烈,O
摇,B-Denoter
晃,I-Denoter
，,O
有,B-Object
的,I-Object
倒,B-Denoter
地,I-Denoter
。,O
,
书,B-Object
籍,I-Object
文,B-Object
件,I-Object
撒,B-Denoter
满,O
一,O
地,O
，,O
人,B-Participant
们,I-Participant
纷,O
纷,O
冲,B-Denoter
下,I-Denoter
办,B-Location
公,I-Location
大,I-Location
楼,I-Location
。,O
,
手,B-Object
机,I-Object
信,I-Object
号,I-Object
部,O
分,O
中,B-Denoter
断,I-Denoter
位,B-Location
于,I-Location
成,I-Location
都,I-Location
南,I-Location
二,I-Location
环,I-Location
外,I-Location
的,I-Location
火,I-Location
车,I-Location
站,I-Location
立,I-Location
交,I-Location
桥,I-Location
下,I-Location
，,O
地,B-Object
下,I-Object
水,I-Object
管,I-Object
破,B-Denoter
裂,I-Denoter
，,O
巨,O
大,O
的,O
，,O
目,O
前,O
还,O
无,O
抢,O
救,O
的,O
车,O
辆,O
到,O
位,O
。,O
,
水,B-Object
流,I-Object
将,O
长,B-Object
寿,I-Object
路,I-Object
街,I-Object
道,I-Object
淹,B-Denoter
没,I-Denoter
在,O
新,O
华,O
社,O
四,O
川,O
分,O
社,O
附,O
近,O
的,O
。,O
,
嘉,B-Object
云,I-Object
台,I-Object
大,I-Object
楼,I-Object
，,O
出,B-Denoter
现,I-Denoter
一,O
道,O
明,O
显,O
的,O
墙,O
裂,B-Object
缝,I-Object
楼,B-Object
层,I-Object
外,I-Object
观,I-Object
局,O
部,O
出,O
现,O
变,B-Denoter
形,I-Denoter
。,O
,
地,B-Denoter
震,I-Denoter
发,O
生,O
后,O
新,B-Participant
华,I-Participant
社,I-Participant
记,I-Participant
者,I-Participant
已,O
在,O
第,O
一,O
时,O
间,O
赶,B-Denoter
往,I-Denoter
四,B-Location
川,I-Location
地,I-Location
震,I-Location
部,I-Location
门,I-Location
和,O
震,B-Location
区,I-Location
，,O
将,O
及,O
时,O
报,B-Denoter
道,I-Denoter
灾,B-Object
区,I-Object
情,I-Object
况,I-Object
。,O
,
新,B-Participant
华,I-Participant
社,I-Participant
莫,I-Participant
斯,I-Participant
科,I-Participant
１０,I-Time
月,I-Time
１１,I-Time
日,I-Time
电,B-Denoter
俄,B-Location
罗,I-Location
斯,I-Location
南,I-Location
方,I-Location
５,I-Location
个,I-Location
地,I-Location
区,I-Location
１１,I-Time
日,I-Time
发,O
生,O
的,O
地,B-Denoter
震,I-Denoter
已,O
造,O
成,O
。,O
,
１２,I-Participant
人,I-Participant
死,B-Denoter
亡,I-Denoter
，,O
俄,B-Participant
塔,I-Participant
社,I-Participant
援,O
引,O
车,O
臣,O
共,O
和,O
国,O
卫,O
生,O
部,O
长,O
阿,O
赫,O
玛,O
托,O
夫,O
的,O
话,O
报,O
道,O
说,B-Denoter
目,O
前,O
已,O
造,O
成,O
地,B-Denoter
震,I-Denoter
，,O
该,B-Location
共,I-Location
和,I-Location
国,I-Location
１２,I-Participant
人,I-Participant
死,B-Denoter
亡,I-Denoter
当,B-Participant
地,I-Participant
医,I-Participant
院,I-Participant
已,O
接,B-Denoter
收,I-Denoter
伤,B-Participant
员,I-Participant
１０５,B-Participant
人,I-Participant
。,O
,
数,B-Participant
据,I-Participant
显,B-Denoter
示,I-Denoter
还,O
造,O
成,O
地,B-Denoter
震,I-Denoter
，,O
该,B-Object
地,I-Object
区,I-Object
部,I-Object
分,I-Object
医,I-Object
院,I-Object
、,O
超,B-Object
市,I-Object
及,O
民,B-Object
房,I-Object
倒,B-Denoter
塌,I-Denoter
山,B-Object
区,I-Object
多,I-Object
条,I-Object
道,I-Object
路,I-Object
损,B-Denoter
毁,I-Denoter
严,O
重,O
。,O
,
位,O
于,O
俄,O
南,O
部,O
的,O
达,B-Location
吉,I-Location
斯,I-Location
